,Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48,Germany,DEU,19496.7874,21031.94889,21762.85505,21863.31176,22759.99775,23528.14888,24047.76137,24570.11241,25344.64585,26291.21108,27202.79337,28380.38412,29178.63747,29875.02793,31305.28794,31794.09601,34124.87427,36252.41196,37802.38743,36823.38028,38949.54976,42541.53109,43359.61483,44993.89275,47011.55109,47683.7886,49516.08269,52055.30995,53074.54012,
51,Denmark,DNK,18215.50896,19044.46239,19794.11188,20197.84348,21655.93409,22661.04873,23711.01408,24925.79847,25813.63891,26653.8239,28662.09474,29449.6194,30640.34562,30786.24895,32908.68079,34150.15946,37295.65935,38968.5154,41278.32683,40339.67713,42999.61614,44403.38484,44803.96824,46726.85414,47901.44736,49058.50107,50877.44729,54282.54774,55671.16527,
52,Dominican Republic,DOM,3579.193224,3664.828134,4091.325661,4414.403569,4543.282581,4817.292293,5111.460783,5569.409244,5915.128614,6258.786434,6595.771906,6803.998794,7117.697385,7051.023517,7324.228267,8152.859622,9049.39913,9853.171718,10236.54484,10283.16147,11132.93764,11580.56878,11979.70226,12634.96457,13623.11821,14555.74119,15519.61682,16370.95618,17748.18532,
53,Algeria,DZA,6683.94251,6661.139592,6774.465962,6640.166811,6583.172604,6844.639633,7129.638422,7214.872707,7553.946588,7797.015071,8162.587573,8480.070459,8981.349267,9682.476035,10234.9309,11022.14747,11380.09442,11897.10382,12218.04739,12294.61249,12655.13741,13046.12851,13482.72112,13823.82823,14326.28301,14711.22085,15036.36415,15207.17915,15481.78762,
59,Ecuador,ECU,4842.70098,5100.887735,5206.308021,5313.184848,5533.27229,5651.891043,5730.989219,5955.771123,6093.606525,5773.29451,5854.337577,6110.458846,6348.924913,6530.517214,7135.985853,7619.033946,8059.131304,8316.568167,8868.937591,8841.984389,9114.338328,9883.580029,10483.13413,11028.42904,11484.17161,11431.99158,11222.07849,11501.01029,11734.38739,
63,Spain,ESP,13664.44044,14449.38408,14843.10691,14960.26858,15569.57826,16262.45154,16958.07988,17910.87261,19096.2983,19954.29022,21587.25644,22958.76158,24371.59885,25018.36612,26119.79374,27606.93405,30688.36622,32438.17339,33263.2724,32098.97505,31680.18539,31867.97324,31720.12,32434.0032,33525.74063,34912.47613,36554.93455,38888.73547,39715.43906,
64,Estonia,EST,,,,5795.935102,5948.334447,6462.306689,6874.484544,7968.173845,8438.284079,8419.571355,9435.008551,10326.17942,11670.36527,13122.83916,14521.29779,16624.91204,19313.26424,22170.25226,22830.09032,20597.93347,21796.6101,24780.97878,26190.55295,27642.58537,29135.7044,29397.12984,30913.20512,33675.45771,35973.77646,
65,Ethiopia,ETH,424.823989,393.6859552,354.7678655,396.4717512,403.5779631,422.9777432,469.1491911,477.4863733,452.6620933,469.1280301,494.2873019,531.5337939,532.6266218,515.8733033,584.8968669,655.7866987,728.390516,811.0642774,891.2764327,950.5543294,1052.606672,1161.581434,1250.351222,1367.714144,1494.112052,1621.706726,1746.16277,1897.249077,2022.137961,
68,Finland,FIN,18139.28789,17544.61898,17248.92076,17449.5559,18449.30434,19556.54644,20062.17354,21792.21748,23576.56558,24767.28067,26788.40847,27807.31978,28605.12232,29019.3104,31173.32308,32051.794,34419.38065,37801.78453,40083.69727,37980.06516,38953.3576,40916.83858,40873.09533,41493.14165,41757.40219,42535.47517,44015.52992,46735.41074,48416.93603,
70,France,FRA,17624.23797,18309.47206,18931.86995,19175.31268,19972.17932,20745.45823,21331.45043,22241.4129,23359.05849,24307.49879,26094.25256,27501.54241,28523.88573,28141.4614,29034.00071,30498.57929,32434.86026,34088.36008,35095.26296,34685.1738,35900.04557,37440.63863,37679.12178,39523.85395,40141.58548,40833.24207,42047.28724,44255.94164,45342.39574,
73,Gabon,GAB,12690.81935,13546.78876,13068.4785,13538.78752,13968.57192,14588.71407,15006.94945,15740.316,16066.72342,14483.9213,14182.23034,14453.96722,14301.43243,14537.38852,14655.94539,15106.77815,14708.23376,15549.51322,14863.56838,14514.77299,15190.41441,16011.1245,16536.56596,17116.34365,17548.27129,17819.55959,17839.8973,17762.40864,17875.76115,
74,United Kingdom,GBR,16698.34176,17022.74234,17428.60116,18248.57016,19312.1769,20522.31375,21851.84823,23039.9478,23637.00282,24414.68532,26407.20992,27756.81263,29068.59386,30261.57769,31964.59597,32668.22632,34767.00114,35600.00779,36660.19256,35003.49742,36340.73387,37161.49069,38311.84608,39971.02536,41259.00094,42509.88817,43543.58783,45378.99774,45973.5735,
